
#    wavenumbers      km/mol
     534.80000000        4.57520000
     552.90000000        3.43140000
     578.90000000        2.28760000
     682.40000000        12.64200000
     761.00000000        114.38000000
     812.60000000        55.98600000
     852.70000000        1.14380000
     861.80000000        9.03000000
     880.10000000        3.43140000
     945.90000000        2.28760000
     1035.80000000        7.82600000
     1162.80000000        0.45752000
     1193.40000000        4.57520000
     1235.90000000        4.57520000
     1264.00000000        10.23400000
     1270.60000000        2.28760000
     1302.30000000        2.28760000
     1429.70000000        18.06000000
     1490.60000000        12.64200000
     1523.20000000        1.14380000
     1601.20000000        6.62200000
     1946.10000000        4.57520000
     3063.90000000        126.42000000
)
###############################################################################
