
#    wavenumbers      km/mol
     487.60000000        1.08360000
     499.20000000        1.08360000
     542.60000000        2.16720000
     711.80000000        46.35400000
     743.90000000        18.66200000
     821.50000000        5.41800000
     842.80000000        108.36000000
     964.10000000        1.08360000
     1097.30000000        4.33440000
     1164.50000000        1.08360000
     1183.90000000        20.46800000
     1243.00000000        4.33440000
     1312.10000000        3.25080000
     1434.80000000        13.24400000
     1471.00000000        2.16720000
     1581.30000000        0.54180000
     1604.00000000        8.42800000
     1792.60000000        7.82600000
     1911.50000000        1.08360000
     1918.00000000        2.16720000
     1930.60000000        5.41800000
     3050.20000000        102.34000000
)
###############################################################################
